Number;Threads;Time
100000;2; 0.013613
1000000;2; 0.156855
10000000;2; 1.576232
100000000;2; 16.106084
1000000000;2; 151.409007
10000000000;2; 218.049910
100000;4; 0.012550
1000000;4; 0.128764
10000000;4; 1.290144
100000000;4; 12.890447
1000000000;4; 126.613865
10000000000;4; 179.974491
100000;8; 0.024997
1000000;8; 0.233420
10000000;8; 2.365112
100000000;8; 24.085465
1000000000;8; 245.000466
10000000000;8; 342.885127
100000;16; 0.025629
1000000;16; 0.269243
10000000;16; 2.696117
100000000;16; 25.954833
1000000000;16; 267.408481
10000000000;16; 375.772007
100000;32; 0.025964
1000000;32; 0.271076
10000000;32; 2.637603
100000000;32; 27.131698
1000000000;32; 272.383317
10000000000;32; 375.694180
100000;2; 0.008578
1000000;2; 0.110209
10000000;2; 1.626159
100000000;2; 15.787331
1000000000;2; 154.834090
10000000000;2; 213.895720
100000;4; 0.012397
1000000;4; 0.121770
10000000;4; 1.217786
100000000;4; 12.832808
1000000000;4; 126.360087
10000000000;4; 181.767788
100000;8; 0.024988
1000000;8; 0.234033
10000000;8; 2.164659
100000000;8; 23.564269
1000000000;8; 241.558501
10000000000;8; 346.756245
100000;16; 0.025696
1000000;16; 0.263853
10000000;16; 2.748040
100000000;16; 27.439957
1000000000;16; 274.393888
10000000000;16; 377.554649
100000;32; 0.025702
1000000;32; 0.264861
10000000;32; 2.705945
100000000;32; 27.059519
1000000000;32; 271.527614
10000000000;32; 375.383608
100000;2; 0.014548
1000000;2; 0.153870
10000000;2; 1.489565
100000000;2; 15.907202
1000000000;2; 154.524867
10000000000;2; 222.457165
100000;4; 0.012550
1000000;4; 0.125985
10000000;4; 1.254659
100000000;4; 12.543383
1000000000;4; 127.773709
10000000000;4; 181.500524
100000;8; 0.023479
1000000;8; 0.242591
10000000;8; 2.343249
100000000;8; 23.923102
1000000000;8; 238.289064
10000000000;8; 362.277708
100000;16; 0.025163
1000000;16; 0.259697
10000000;16; 2.658929
100000000;16; 27.343640
1000000000;16; 269.327349
10000000000;16; 387.550129
100000;32; 0.024919
1000000;32; 0.277752
10000000;32; 2.712913
100000000;32; 27.235840
1000000000;32; 270.660916
10000000000;32; 383.801277
100000;2; 0.016289
1000000;2; 0.171254
10000000;2; 1.560036
100000000;2; 15.798216
1000000000;2; 154.727465
10000000000;2; 206.023023
100000;4; 0.013350
1000000;4; 0.125634
10000000;4; 1.260192
100000000;4; 13.068617
1000000000;4; 127.177493
10000000000;4; 177.188911
100000;8; 0.024318
1000000;8; 0.244088
10000000;8; 2.321141
100000000;8; 23.415165
1000000000;8; 236.662324
10000000000;8; 335.946473
100000;16; 0.026757
1000000;16; 0.270402
10000000;16; 2.746789
100000000;16; 27.246737
1000000000;16; 269.772726
10000000000;16; 386.953693
100000;32; 0.025880
1000000;32; 0.274543
10000000;32; 2.617188
100000000;32; 26.533482
1000000000;32; 266.155968
10000000000;32; 383.372137
100000;2; 0.016073
1000000;2; 0.143909
10000000;2; 1.525378
100000000;2; 15.812727
1000000000;2; 160.117665
10000000000;2; 209.872071
100000;4; 0.013384
1000000;4; 0.115533
10000000;4; 1.218822
100000000;4; 12.375038
1000000000;4; 127.397839
10000000000;4; 181.995104
100000;8; 0.025029
1000000;8; 0.236630
10000000;8; 2.278638
100000000;8; 24.145287
1000000000;8; 240.252653
10000000000;8; 335.247466
100000;16; 0.026564
1000000;16; 0.265944
10000000;16; 2.649466
100000000;16; 27.412143
1000000000;16; 273.676778
10000000000;16; 377.893665
100000;32; 0.026113
1000000;32; 0.263259
10000000;32; 2.651666
100000000;32; 26.634456
1000000000;32; 261.453350
10000000000;32; 384.227667
100000;2; 0.015482
1000000;2; 0.163251
10000000;2; 1.441255
100000000;2; 15.629638
1000000000;2; 154.228978
10000000000;2; 214.604451
100000;4; 0.012626
1000000;4; 0.125683
10000000;4; 1.256919
100000000;4; 12.966270
1000000000;4; 127.611522
10000000000;4; 176.676407
100000;8; 0.025421
1000000;8; 0.229525
10000000;8; 2.305236
100000000;8; 23.745052
1000000000;8; 259.333652
10000000000;8; 345.743852
100000;16; 0.025386
1000000;16; 0.276201
10000000;16; 2.734761
100000000;16; 26.772388
1000000000;16; 272.762262
10000000000;16; 386.969458
100000;32; 0.025609
1000000;32; 0.264058
10000000;32; 2.617025
100000000;32; 27.159158
1000000000;32; 265.375748
10000000000;32; 383.008495
100000;2; 0.016488
1000000;2; 0.132179
10000000;2; 1.591818
100000000;2; 15.616444
1000000000;2; 152.993639
10000000000;2; 214.065760
100000;4; 0.012166
1000000;4; 0.124798
10000000;4; 1.316397
100000000;4; 12.959701
1000000000;4; 124.324531
10000000000;4; 178.944004
100000;8; 0.024706
1000000;8; 0.233295
10000000;8; 2.315685
100000000;8; 23.507583
1000000000;8; 232.919303
10000000000;8; 360.516684
100000;16; 0.026427
1000000;16; 0.268494
10000000;16; 2.729868
100000000;16; 27.290806
1000000000;16; 266.391983
10000000000;16; 361.946639
100000;32; 0.026414
1000000;32; 0.267100
10000000;32; 2.721624
100000000;32; 26.913619
1000000000;32; 265.188554
10000000000;32; 384.208504
100000;2; 0.016173
1000000;2; 0.147669
10000000;2; 1.690447
100000000;2; 14.040422
1000000000;2; 150.852590
10000000000;2; 227.161611
100000;4; 0.013307
1000000;4; 0.113933
10000000;4; 1.261208
100000000;4; 13.384163
1000000000;4; 128.324910
10000000000;4; 177.519366
100000;8; 0.025962
1000000;8; 0.256698
10000000;8; 2.303887
100000000;8; 24.160933
1000000000;8; 240.562801
10000000000;8; 340.355018
100000;16; 0.024896
1000000;16; 0.269477
10000000;16; 2.770405
100000000;16; 27.387021
1000000000;16; 267.227397
10000000000;16; 387.181400
100000;32; 0.026078
1000000;32; 0.262956
10000000;32; 2.726616
100000000;32; 27.117036
1000000000;32; 271.582409
10000000000;32; 382.051165
100000;2; 0.015949
1000000;2; 0.154326
10000000;2; 1.408304
100000000;2; 16.046146
1000000000;2; 162.108049
10000000000;2; 227.316968
100000;4; 0.012864
1000000;4; 0.123216
10000000;4; 1.250379
100000000;4; 12.825564
1000000000;4; 130.071903
10000000000;4; 178.919261
100000;8; 0.024532
1000000;8; 0.234405
10000000;8; 2.292843
100000000;8; 23.577659
1000000000;8; 237.473012
10000000000;8; 338.258365
100000;16; 0.025336
1000000;16; 0.271859
10000000;16; 2.723416
100000000;16; 27.519621
1000000000;16; 258.427268
10000000000;16; 386.859449
100000;32; 0.027247
1000000;32; 0.269577
10000000;32; 2.670221
100000000;32; 26.295816
1000000000;32; 266.820588
10000000000;32; 383.780243
100000;2; 0.015863
1000000;2; 0.153628
10000000;2; 1.516128
100000000;2; 15.322814
1000000000;2; 158.423450
10000000000;2; 217.382751
100000;4; 0.013638
1000000;4; 0.126104
10000000;4; 1.316374
100000000;4; 13.173787
1000000000;4; 130.743276
10000000000;4; 177.391648
100000;8; 0.024274
1000000;8; 0.237872
10000000;8; 2.509907
100000000;8; 23.997588
1000000000;8; 233.475167
10000000000;8; 339.936174
100000;16; 0.025599
1000000;16; 0.274642
10000000;16; 2.667346
100000000;16; 27.099818
1000000000;16; 266.493116
10000000000;16; 386.978179
100000;32; 0.025560
1000000;32; 0.273330
10000000;32; 2.663805
100000000;32; 26.625299
1000000000;32; 267.360382
10000000000;32; 375.938053

